erc,title,description,topic,topic_secondary,topic_confidence,topic_other,status,type,category,created,last_call_deadline,withdrawal_reason,author,authors_normalized,requires,required_by,referenced_ercs,in_degree,out_degree,pagerank,dependency_depth,has_security_considerations,has_test_cases,has_reference_impl,spec_word_count,section_count,discussions_to,one_line_summary,notes
4353,Interface for Staked Tokens in NFTs,This interface enables access to publicly viewable staking data of an NFT.,nft,tokens-fungible,high,,Stagnant,Standards Track,ERC,2021-10-08,,,"Rex Creed (@aug2uag), Dane Scarborough <dane@nftapps.us>",Rex Creed (@aug2uag);Dane Scarborough <dane@nftapps.us>,165,,721;165;20;1155,0,1,0.00094087,1,True,True,False,1123,12,https://ethereum-magicians.org/t/eip-4353-viewing-staked-tokens-in-nft/7234,Interface for querying staked tokens bound to NFTs.,"Simple interface enabling wallets to display staked token amounts for NFTs, supporting escrow and reward use cases."
4361,Sign-In with Ethereum,Off-chain authentication for Ethereum accounts to establish sessions.,security-permissions,reputation-identity,high,,Final,Standards Track,ERC,2021-10-11,,,"Wayne Chang (@wyc), Gregory Rocco (@obstropolos), Brantly Millegan (@brantlymillegan), Nick Johnson (@Arachnid), Oliver Terbu (@awoie)",Wayne Chang (@wyc);Gregory Rocco (@obstropolos);Brantly Millegan (@brantlymillegan);Nick Johnson (@Arachnid);Oliver Terbu (@awoie),55;137;155;191;1271;1328,5573;8019,55;137;155;191;1271;1328,2,5,0.00254036,1,True,False,True,3796,40,https://ethereum-magicians.org/t/eip-4361-sign-in-with-ethereum/7263,Standard for Ethereum account authentication via signed messages for off-chain sessions.,"SIWE protocol enabling self-custodial login alternative to centralized IdPs, with EOA and contract account support. Final status."
4393,Micropayments for NFTs and Multi Tokens,An interface for tip tokens that allows tipping to holders of NFTs and multi tokens,nft,tokens-fungible,high,,Stagnant,Standards Track,ERC,2021-10-24,,,Jules Lai (@julesl23),Jules Lai (@julesl23),165;721;1155,,165;721;1155;20,0,3,0.00094087,2,True,False,False,3606,16,https://ethereum-magicians.org/t/eip-proposal-micropayments-standard-for-nfts-and-multi-tokens/7366,Micropayment standard for tipping NFT and multi-token holders via tip tokens.,"Interface for tip tokens exchanged for ERC-20, enabling batched tipping to NFT holders with gas optimization."
4400,EIP-721 Consumable Extension,Interface extension for EIP-721 consumer role,nft,,high,,Final,Standards Track,ERC,2021-10-30,,,"Daniel Ivanov (@Daniel-K-Ivanov), George Spasov (@Perseverance)",Daniel Ivanov (@Daniel-K-Ivanov);George Spasov (@Perseverance),165;721,5501,165;721,1,2,0.00114081,2,True,True,True,902,11,https://ethereum-magicians.org/t/EIP-4400-EIP721consumer-extension/7371,ERC-721 consumer role extension separating utility rights from ownership.,Adds consumer address field and changeConsumer method; consumer cannot own/approve/transfer. Final status.
4430,Described Transactions,A technique for contracts to provide a human-readable description of a transaction's side-effects.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2021-11-07,,,"Richard Moore (@ricmoo), Nick Johnson (@arachnid)",Richard Moore (@ricmoo);Nick Johnson (@arachnid),,,712,0,0,0.00094087,0,True,False,True,985,12,https://ethereum-magicians.org/t/discussion-eip-4430-described-transactions/8762,Virtual functions and human-readable descriptions for Ethereum transactions.,Solves the UX problem of opaque transaction signing by allowing contracts to generate paired descriptions and bytecode.
4494,Permit for ERC-721 NFTs,ERC-712-singed approvals for ERC-721 NFTs,tokens-fungible,nft,high,,Stagnant,Standards Track,ERC,2021-11-25,,,"Simon Fremaux (@dievardump), William Schwab (@wschwab)",Simon Fremaux (@dievardump);William Schwab (@wschwab),165;712;721,,2612;712;721;165;2098,0,2,0.00094087,2,True,True,True,1497,9,https://ethereum-magicians.org/t/eip-extending-erc2612-style-permits-to-erc721-nfts/7519/2,ERC-712-signed approvals for ERC-721 NFTs enabling gasless permit flows.,Extends ERC-2612 permit pattern to NFTs; nonce increments per NFT transfer.
4519,Non-Fungible Tokens Tied to Physical Assets,Interface for non-fungible tokens representing physical assets that can generate or recover their own accounts and obey users.,nft,,high,,Final,Standards Track,ERC,2021-12-03,,,"Javier Arcenegui (@Hardblock-IMSE-CNM), Rosario Arjona (@RosarioArjona), Roberto Román <roman@imse-cnm.csic.es>, Iluminada Baturone (@lumi2018)",Javier Arcenegui (@Hardblock-IMSE-CNM);Rosario Arjona (@RosarioArjona);Roberto Román <roman@imse-cnm.csic.es>;Iluminada Baturone (@lumi2018),165;721,,721;165,0,2,0.00094087,2,True,True,True,2870,12,https://ethereum-magicians.org/t/new-proposal-of-smart-non-fungible-token/7677,NFTs representing physical assets with mutual authentication and secure communication.,"Extends ERC-721 with asset address, user assignment, and cryptographic key agreement protocols."
4521,721/20-compatible transfer,Recommends a simple extension to make NFTs compatible with apps and contracts that handle fungibles.,nft,tokens-fungible,high,,Stagnant,Standards Track,ERC,2021-12-13,,,Ross Campbell (@z0r0z),Ross Campbell (@z0r0z),721,,721;20,0,1,0.00094087,2,True,False,True,318,8,https://ethereum-magicians.org/t/eip-4521-721-20-compatible-transfer/7903,Adds ERC-20 compatible transfer() function to ERC-721 NFTs.,Simple compatibility bridge; allows NFTs to work with ERC-20-aware contracts and wallets.
4524,Safer ERC-20,Extending ERC-20 with ERC165 and adding safeTransfer (like ERC-721 and ERC-1155),tokens-fungible,,high,,Stagnant,Standards Track,ERC,2021-12-05,,,William Schwab (@wschwab),William Schwab (@wschwab),20;165,,20;165;721;1155;2612;1046,0,2,0.00094087,1,True,True,True,727,9,https://ethereum-magicians.org/t/why-isnt-there-an-erc-for-safetransfer-for-erc20/7604,Extends ERC-20 with ERC-165 interface detection and safeTransfer callbacks.,Brings NFT safety patterns (safeTransfer/safeTransferFrom) and EIP-165 to ERC-20 tokens.
4527,QR Code transmission protocol for wallets,QR Code data transmission protocol between wallets and offline signers.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2021-12-07,,,"Aaron Chen (@aaronisme), Sora Lee (@soralit), ligi (@ligi), Dan Miller (@danjm), AndreasGassmann (@andreasgassmann), xardass (@xardass), Lixin Liu (@BitcoinLixin)",Aaron Chen (@aaronisme);Sora Lee (@soralit);ligi (@ligi);Dan Miller (@danjm);AndreasGassmann (@andreasgassmann);xardass (@xardass);Lixin Liu (@BitcoinLixin),,,,0,0,0.00094087,0,True,True,True,1854,21,https://ethereum-magicians.org/t/add-qr-code-scanning-between-software-wallet-cold-signer-hardware-wallet/6568,QR code data transmission protocol between offline signers and watch-only wallets.,"Uses UR encoding and animated QR codes; supports key distribution, transactions, and EIP-712 typed data."
4546,Wrapped Deposits,A singleton contract for managing asset deposits.,tokens-fungible,nft,medium,,Stagnant,Standards Track,ERC,2021-12-11,,,Justice Hudson (@jchancehud),Justice Hudson (@jchancehud),,,20;721;1155,0,0,0.00094087,0,True,False,True,981,8,https://ethereum-magicians.org/t/wrapped-deposit-contract-eip/7740,"Singleton contract for unified asset deposits across ERC-20, ERC-721, ERC-1155, and Ether.",Primary purpose is token management/deposit UX; uses ERC-20/721/1155 as infrastructure.
4626,Tokenized Vaults,Tokenized Vaults with a single underlying EIP-20 token.,defi,,high,,Final,Standards Track,ERC,2021-12-22,,,"Joey Santoro (@joeysantoro), t11s (@transmissions11), Jet Jadeja (@JetJadeja), Alberto Cuesta Cañada (@alcueca), Señor Doggo (@fubuloubu)",Joey Santoro (@joeysantoro);t11s (@transmissions11);Jet Jadeja (@JetJadeja);Alberto Cuesta Cañada (@alcueca);Señor Doggo (@fubuloubu),20;2612,5143;6229;7425;7528;7535;7540;7575;8113,20;2612,8,2,0.00452697,2,True,False,True,3545,29,https://ethereum-magicians.org/t/eip-4626-yield-bearing-vault-standard/7900,Standard API for tokenized vaults representing shares of underlying ERC-20 tokens.,Core DeFi primitive; defines deposit/withdraw/redeem semantics for yield-bearing tokens.
4671,Non-Tradable Tokens Standard,"A standard interface for non-tradable tokens, aka badges or souldbound NFTs.",reputation-identity,nft,high,,Stagnant,Standards Track,ERC,2022-01-13,,,"Omar Aflak (@omaraflak), Pol-Malo Le Bris, Marvin Martin (@MarvinMartin24)",Omar Aflak (@omaraflak);Pol-Malo Le Bris;Marvin Martin (@MarvinMartin24),165,,165,0,1,0.00094087,1,True,False,True,1665,16,https://ethereum-magicians.org/t/eip-4671-non-tradable-token/7976,"Non-tradable tokens (soulbound badges) for diplomas, credentials, and personal achievements.","Explicitly non-transferable; represents inherently personal possessions; includes enumerable, delegate, and consensus extensions."
4675,Multi-Fractional Non-Fungible Tokens,Fractionalize multiple NFTs using a single contract,nft,,high,,Stagnant,Standards Track,ERC,2022-01-13,,,David Kim (@powerstream3604),David Kim (@powerstream3604),165;721,,1633;20;1155;721;165,0,2,0.00094087,2,True,True,True,1558,9,https://ethereum-magicians.org/t/eip-4675-multi-fractional-non-fungible-token-standard/8008,Fractionalize multiple NFTs into fungible shares within a single contract.,Each token ID represents a distinct fractionalized NFT; improves on separate ERC-20 deployment pattern.
4799,Non-Fungible Token Ownership Designation Standard,A standardized interface for designating ownership of an NFT,nft,,high,,Stagnant,Standards Track,ERC,2022-02-13,,,"David Buckman (@davidbuckman), Isaac Buckman (@isaacbuckman)",David Buckman (@davidbuckman);Isaac Buckman (@isaacbuckman),165,,721;165,0,1,0.00094087,1,True,False,True,1188,9,https://ethereum-magicians.org/t/erc-4799-non-fungible-token-wrapping-standard/8396,Designate ownership of NFTs held in escrow while preserving original authenticity.,"Enables rental, collateral, fractional ownership without losing authenticity; creates directed acyclic graph of NFTs."
4804,Web3 URL to EVM Call Message Translation,A translation of an HTTP-style Web3 URL to an EVM call message,infrastructure-meta,,high,,Final,Standards Track,ERC,2022-02-14,,,"Qi Zhou (@qizhou), Chao Pi (@pichaoqkc), Sam Wilson (@SamWilsn)",Qi Zhou (@qizhou);Chao Pi (@pichaoqkc);Sam Wilson (@SamWilsn),137,6662;6821;6944,137,3,1,0.00245039,1,True,False,False,1289,16,https://ethereum-magicians.org/t/eip-4804-web3-url-to-evm-call-message-translation/8300,Translate HTTP-style Web3 URLs to EVM call messages for read-only contract execution.,Enables direct Web3 access and on-chain web content rendering; supports ENS resolution and method auto-detection.
4824,Common Interfaces for DAOs,An API for decentralized autonomous organizations (DAOs).,governance,,high,,Review,Standards Track,ERC,2022-02-17,,,"Joshua Tan (@thelastjosh), Isaac Patka (@ipatka), Ido Gershtein <ido@daostack.io>, Eyal Eithcowich <eyal@deepdao.io>, Michael Zargham (@mzargham), Sam Furter (@nivida)",Joshua Tan (@thelastjosh);Isaac Patka (@ipatka);Ido Gershtein <ido@daostack.io>;Eyal Eithcowich <eyal@deepdao.io>;Michael Zargham (@mzargham);Sam Furter (@nivida),,,165;721,0,0,0.00094087,0,True,False,False,3407,23,https://ethereum-magicians.org/t/eip-4824-decentralized-autonomous-organizations/8362,API standard for DAOs relating on-chain and off-chain membership and proposals.,"Defines daoURI and JSON-LD schemas for members, proposals, activity log, and governance; enables DAO discoverability."
4834,Hierarchical Domains,Extremely generic name resolution,infrastructure-meta,,high,,Final,Standards Track,ERC,2022-02-22,,,Gavin John (@Pandapip1),Gavin John (@Pandapip1),,,137,0,0,0.00094087,0,True,False,False,1763,18,https://ethereum-magicians.org/t/erc-4834-hierarchical-domains-standard/8388,"Generic hierarchical name resolution with arbitrary access control, similar to ENS.",All domains (including TLDs and root) are contracts; simpler than ENS with standardized access control.
4883,Composable SVG NFT,Compose an SVG NFT by concatenating the SVG with the rendered SVG of another NFT.,nft,,high,,Draft,Standards Track,ERC,2022-03-08,,,"Andrew B Coathup (@abcoathup), Alex (@AlexPartyPanda), Damian Martinelli (@damianmarti), blockdev (@0xbok), Austin Griffith (@austintgriffith)",Andrew B Coathup (@abcoathup);Alex (@AlexPartyPanda);Damian Martinelli (@damianmarti);blockdev (@0xbok);Austin Griffith (@austintgriffith),721,,721,0,1,0.00094087,2,True,False,False,450,11,https://ethereum-magicians.org/t/eip-4883-composable-svg-nft/8765,Compose SVG NFTs by concatenating rendered SVG strings from other NFTs.,Enables on-chain SVG composability; used by Loogies; concatenation order determines rendering (painters model).
4885,Subscription NFTs and Multi Tokens,An interface for subscription tokens that gives holders subscriptions to NFTs and multi tokens,nft,defi,high,,Stagnant,Standards Track,ERC,2022-03-08,,,Jules Lai (@julesl23),Jules Lai (@julesl23),165;721;1155,,20;165;721;1155,0,3,0.00094087,2,True,False,False,2020,15,https://ethereum-magicians.org/t/eip-subscription-token-standard/8531,Subscription tokens giving holders time-limited access to NFTs/semi-fungibles.,Bridges subscription mechanics with NFT ownership; subscription balance decreases linearly over time.
4886,Proxy Ownership Register,"A proxy ownership register allowing trustless proof of ownership between Ethereum addresses, with delegated asset delivery",security-permissions,infrastructure-meta,medium,,Stagnant,Standards Track,ERC,2022-09-03,,,Omnus Sunmo (@omnus),Omnus Sunmo (@omnus),,,,0,0,0.00094087,0,True,True,True,2561,12,https://ethereum-magicians.org/t/eip-4886-a-proxy-ownership-and-asset-delivery-register/8559,Register for proxy ownership linking cold wallets to active proxy addresses.,Enables proving asset ownership via proxy without direct interaction from cold wallet.
4906,EIP-721 Metadata Update Extension,Add a MetadataUpdate event to EIP-721.,nft,,high,,Final,Standards Track,ERC,2022-03-13,,,"Anders (@0xanders), Lance (@LanceSnow), Shrug <shrug@emojidao.org>, Nathan <nathan.gang@gemini.com>",Anders (@0xanders);Lance (@LanceSnow);Shrug <shrug@emojidao.org>;Nathan <nathan.gang@gemini.com>,165;721,5050;5727,165;721,2,2,0.00120746,2,True,False,True,480,8,https://ethereum-magicians.org/t/eip4906-erc-721-erc-1155-metadata-update-extension/8588,Standard MetadataUpdate and BatchMetadataUpdate events for 721/1155 tokens.,Lightweight extension enabling third-party platforms to timely update NFT metadata.
4907,"Rental NFT, an Extension of EIP-721",Add a time-limited role with restricted permissions to EIP-721 tokens.,nft,,high,,Final,Standards Track,ERC,2022-03-11,,,"Anders (@0xanders), Lance (@LanceSnow), Shrug <shrug@emojidao.org>",Anders (@0xanders);Lance (@LanceSnow);Shrug <shrug@emojidao.org>,165;721,5501;7565,165;721,2,2,0.00154068,2,True,True,True,1442,15,https://ethereum-magicians.org/t/idea-erc-721-user-and-expires-extension/8572,Dual owner/user roles for 721 NFTs with time-limited rental periods.,Enables NFT rentals with automatic expiry; user cannot transfer.
4910,Royalty Bearing NFTs,"Extension of ERC-721 to correctly define, process, and pay (hierarchical) onchain NFT royalties.",nft,defi,high,,Final,Standards Track,ERC,2022-03-14,,,Andreas Freund (@Therecanbeonlyone1969),Andreas Freund (@Therecanbeonlyone1969),165;721,,20;165;721,0,2,0.00094087,2,True,True,True,8069,35,https://ethereum-magicians.org/t/royalty-bearing-nfts/8453,Hierarchical royalty distribution system for 721 NFTs via Royalty Accounts.,Supports multi-level royalty trees; handles complex inheritance and payout logic.
4931,Generic Token Upgrade Standard,Create a standard interface for upgrading ERC20 token contracts.,tokens-fungible,,high,,Stagnant,Standards Track,ERC,2021-11-02,,,"John Peterson (@John-peterson-coinbase), Roberto Bayardo (@roberto-bayardo), David Núñez (@cygnusv)",John Peterson (@John-peterson-coinbase);Roberto Bayardo (@roberto-bayardo);David Núñez (@cygnusv),20,,20,0,1,0.00094087,1,True,False,True,3010,23,https://ethereum-magicians.org/t/eip-4931-generic-token-upgrade-standard/8687,Standard interface for upgrading ERC-20 tokens with configurable ratios.,Supports both upgrade and optional downgrade; reusable across different token pairs.
4944,Contract with Exactly One Non-fungible Token,An ERC-721 compatible single-token NFT,nft,,high,,Stagnant,Standards Track,ERC,2022-03-25,,,"Víctor Muñoz (@victormunoz), Josep Lluis de la Rosa (@peplluis7), Andres El-Fakdi (@Bluezfish)",Víctor Muñoz (@victormunoz);Josep Lluis de la Rosa (@peplluis7);Andres El-Fakdi (@Bluezfish),721,,721,0,1,0.00094087,2,True,False,True,417,8,https://ethereum-magicians.org/t/erc721-minting-only-one-token/8602/2,"Single NFT per contract, uniquely identifying token by contract address.",Restricts 721 to exactly one token; enables contract as autonomous agent with budget.
4950,Entangled Tokens,ERC-721 extension with two tokens minted that are tied together,nft,,high,,Stagnant,Standards Track,ERC,2022-03-28,,,"Víctor Muñoz (@victormunoz), Josep Lluis de la Rosa (@peplluis7), Easy Innova (@easyinnova)",Víctor Muñoz (@victormunoz);Josep Lluis de la Rosa (@peplluis7);Easy Innova (@easyinnova),20;721;1155,,20;721;1155,0,3,0.00094087,2,True,False,True,649,8,https://ethereum-magicians.org/t/entangled-tokens/8702,"Two entangled NFTs per contract for authenticity, royalties, and shared wallet.",Enables artist to prove creation; only one transfer possible per pair.
4955,Vendor Metadata Extension for NFTs,Add a new field to NFT metadata to store vendor specific data,nft,,high,,Final,Standards Track,ERC,2022-03-29,,,Ignacio Mazzara (@nachomazzara),Ignacio Mazzara (@nachomazzara),721;1155,,721;1155,0,2,0.00094087,2,True,False,False,917,11,https://ethereum-magicians.org/t/eip-4955-non-fungible-token-metadata-namespaces-extension/8746,Vendor-specific metadata namespaces extension for 721/1155 NFTs.,Allows project-specific data (e.g. 3D models) in standard JSON metadata without breaking compatibility.
4972,Name-Owned Account,Name-Owned Account for Social Identity,reputation-identity,account-abstraction,medium,,Draft,Standards Track,ERC,2022-04-04,,,"Shu Dong (@dongshu2013), Qi Zhou (@qizhou), Zihao Chen (@zihaoccc)",Shu Dong (@dongshu2013);Qi Zhou (@qizhou);Zihao Chen (@zihaoccc),137,,137,0,1,0.00094087,1,True,False,True,561,11,https://ethereum-magicians.org/t/eip-4972-name-owned-account/8822,"Smart contract account linked to ENS name node, owned by name owner.",Enables one-to-one mapping from human-readable name to programmable account.
4973,Account-bound Tokens,An interface for non-transferrable NFTs binding to an Ethereum account like a legendary World of Warcraft item binds to a character.,nft,reputation-identity,high,,Review,Standards Track,ERC,2022-04-01,,,Tim Daubenschütz (@TimDaub),Tim Daubenschütz (@TimDaub),165;712;721;1271,,165;712;721;1271,0,3,0.00094087,2,True,False,True,1660,13,https://ethereum-magicians.org/t/eip-4973-non-transferrable-non-fungible-tokens-soulbound-tokens-or-badges/8825,Non-transferrable account-bound tokens (soulbound) with EIP-712 signature verification.,Tokens bind to single account; no transfer interface; can unequip voluntarily.
4974,Ratings,An interface for assigning and managing numerical ratings,reputation-identity,,high,,Stagnant,Standards Track,ERC,2022-04-02,,,Daniel Tedesco (@dtedesco1),Daniel Tedesco (@dtedesco1),165,,165;20;721,0,1,0.00094087,1,True,False,True,1485,14,https://ethereum-magicians.org/t/8805,Standardized interface for assigning and managing int8 numerical ratings.,"Operator-controlled ratings; supports voting weight, experience points, loyalty tracking."
4987,Held token interface,Interface to query ownership and balance of held tokens,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2021-09-21,,,Devin Conley (@devinaconley),Devin Conley (@devinaconley),20;165;721;1155,,20;165;721;1155,0,4,0.00094087,2,True,False,True,1302,8,https://ethereum-magicians.org/t/eip-4987-held-token-standard-nfts-defi/7117,Interface to query ownership and balance of tokens held by contracts.,Separates functional owner from technical owner; enables governance/membership verification despite token deposits.
5005,Zodiac Modular Accounts,Composable interoperable programmable accounts,account-abstraction,,high,,Stagnant,Standards Track,ERC,2022-04-14,,,"Auryn Macmillan (@auryn-macmillan), Kei Kreutler (@keikreutler)",Auryn Macmillan (@auryn-macmillan);Kei Kreutler (@keikreutler),165,,165,0,1,0.00094087,1,True,False,False,1263,7,https://ethereum-magicians.org/t/eip-zodiac-a-composable-design-philosophy-for-daos/8963,"Composable interfaces for modular accounts: Avatars, Modules, Modifiers, Guards.",Decouples authentication from execution; enables flexible multi-control and progressive decentralization.
5006,"Rental NFT, NFT User Extension",Add a user role with restricted permissions to ERC-1155 tokens,nft,,high,,Final,Standards Track,ERC,2022-04-12,,,"Lance (@LanceSnow), Anders (@0xanders), Shrug <shrug@emojidao.org>",Lance (@LanceSnow);Anders (@0xanders);Shrug <shrug@emojidao.org>,165;1155,,165;1155,0,2,0.00094087,2,True,True,True,776,11,https://ethereum-magicians.org/t/eip5006-erc-1155-usage-rights-extension/8941,User role extension for ERC-1155 enabling time-bound rental/usage rights.,Parallel to 4907 for semi-fungibles; user cannot transfer.
5007,"Time NFT, ERC-721 Time Extension",Add start time and end time to ERC-721 tokens.,nft,,high,,Final,Standards Track,ERC,2022-04-13,,,"Anders (@0xanders), Lance (@LanceSnow), Shrug <shrug@emojidao.org>",Anders (@0xanders);Lance (@LanceSnow);Shrug <shrug@emojidao.org>,165;721,,165;721,0,2,0.00094087,2,True,True,True,569,10,https://ethereum-magicians.org/t/eip-5007-eip-721-time-extension/8924,ERC-721 extension adding start and end time properties to NFT tokens.,Optional composable extension supports splitting/merging time-based NFTs.
5008,ERC-721 Nonce Extension,Add a `nonce` function to ERC-721.,nft,,high,,Last Call,Standards Track,ERC,2022-04-10,2023-08-15,,"Anders (@0xanders), Lance (@LanceSnow), Shrug <shrug@emojidao.org>",Anders (@0xanders);Lance (@LanceSnow);Shrug <shrug@emojidao.org>,165;721,,165;721,0,2,0.00094087,2,True,True,True,321,9,https://ethereum-magicians.org/t/eip5008-eip-721-nonce-and-metadata-update-extension/8925,ERC-721 extension adding nonce to prevent marketplace order replay attacks.,Nonce increments on token transfer to invalidate stale orders.
5018,Filesystem-like Interface for Contracts,An interface to provide access to binary objects similar to filesystems.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2022-04-18,,,Qi Zhou (@qizhou),Qi Zhou (@qizhou),,,4804,0,0,0.00094087,0,True,False,False,832,22,https://ethereum-magicians.org/t/eip-5018-directory-standard/8958,Filesystem-like interface for reading and writing binary objects in contracts.,Supports chunked I/O for large files; enables Web3 resource discovery via EIP-4804.
5023,Shareable Non-Fungible Token,An interface for creating value-holding tokens shareable by multiple owners,nft,,high,,Final,Standards Track,ERC,2022-01-28,,,"Jarno Marttila (@yaruno), Martin Moravek (@mmartinmo)",Jarno Marttila (@yaruno);Martin Moravek (@mmartinmo),165,,165;721;1155,0,1,0.00094087,1,True,False,True,1385,8,https://ethereum-magicians.org/t/new-nft-concept-shareable-nfts/8681,Non-fungible shareable tokens that can be copied and shared while retaining original.,Shareable non-transferable variant enables reputation/contribution tracking via share events.
5050,Interactive NFTs with Modular Environments,Action messaging and discovery protocol for interactions on and between NFTs,nft,infrastructure-meta,medium,,Stagnant,Standards Track,ERC,2021-04-18,,,Alexi (@alexi),Alexi (@alexi),165;173;721;1155;1820;4906,,165;173;721;1155;1820;4906,0,6,0.00094087,3,True,False,True,2747,21,https://ethereum-magicians.org/t/eip-5050-nft-interaction-standard/9922,Action messaging protocol for interactive NFTs with optional modular state environments.,Enables NFT-to-NFT interaction; state contracts broker execution; validation via action hash.
5058,Lockable Non-Fungible Tokens,Lockable EIP-721 tokens,nft,,high,,Stagnant,Standards Track,ERC,2022-04-30,,,"Tyler (@radiocaca), Alex (@gojazdev), John (@sfumato00)",Tyler (@radiocaca);Alex (@gojazdev);John (@sfumato00),20;165;721,,20;165;721,0,3,0.00094087,2,True,True,True,1482,14,https://ethereum-magicians.org/t/eip-5058-erc-721-lockable-standard/9201,ERC-721 extension with locking mechanism to prevent transfer while maintaining custody.,NFTs remain in owner wallet while locked; enables NFTFi without escrow risk.
5094,URL Format for Ethereum Network Switching,A way of representing various network configurations as URLs.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2022-05-13,,,"Luc van Kampen (@lucemans), Jakob Helgesson (@svemat01), Joshua Hendrix (@thejoshuahendrix)",Luc van Kampen (@lucemans);Jakob Helgesson (@svemat01);Joshua Hendrix (@thejoshuahendrix),681;831,,681;831,0,2,0.00094087,3,True,False,False,682,8,https://ethereum-magicians.org/t/5094-uri-format-for-ethereum-network-switching/9277,URL format for representing Ethereum network configurations for wallet integration.,Extension of EIP-831; allows deep linking and QR codes for network addition.
5095,Principal Token,Principal tokens (zero-coupon tokens) are redeemable for a single underlying EIP-20 token at a future timestamp.,defi,,high,,Stagnant,Standards Track,ERC,2022-05-01,,,"Julian Traversa (@JTraversa), Robert Robbins (@robrobbins), Alberto Cuesta Cañada (@alcueca)",Julian Traversa (@JTraversa);Robert Robbins (@robrobbins);Alberto Cuesta Cañada (@alcueca),20;2612,,20;2612,0,2,0.00094087,2,True,False,True,3010,22,https://ethereum-magicians.org/t/eip-5095-principal-token-standard/9259,Principal tokens (zero-coupon) redeemable for underlying ERC-20 at maturity.,Standardizes yield tokenization and fixed-rate money markets; extends ERC-20.
5114,Soulbound Badge,"A token that is attached to a ""soul"" at mint time and cannot be transferred after that.",reputation-identity,nft,high,,Last Call,Standards Track,ERC,2022-05-30,2023-09-19,,Micah Zoltu (@MicahZoltu),Micah Zoltu (@MicahZoltu),,5252,,1,0,0.00114081,0,True,False,False,778,9,https://ethereum-magicians.org/t/eip-5114-soulbound-token/9417,Soulbound badge token bound immutably to another NFT at mint time.,Non-transferable; requires content-addressable URIs for metadata; bound to NFT personas.
5115,SY Token,Interface for wrapped yield-bearing tokens.,defi,,high,,Draft,Standards Track,ERC,2022-05-30,,,"Vu Nguyen (@mrenoon), Long Vuong (@UncleGrandpa925), Anton Buenavista (@ayobuenavista)",Vu Nguyen (@mrenoon);Long Vuong (@UncleGrandpa925);Anton Buenavista (@ayobuenavista),20,,20;4626,0,1,0.00094087,1,True,False,False,2896,18,https://ethereum-magicians.org/t/eip-5115-super-composable-yield-token-standard/9423,Standardized Yield token interface for composable wrapped yield-bearing assets.,More flexible than ERC-4626; supports multiple input/output tokens and reward handling.
5131,SAFE Authentication For ENS,Using ENS Text Records to facilitate safer and more convenient signing operations.,security-permissions,reputation-identity,high,,Stagnant,Standards Track,ERC,2022-06-03,,,"Wilkins Chung (@wwhchung) <wilkins@manifold.xyz>, Jalil Wahdatehagh (@jwahdatehagh), Cry (@crydoteth), Sillytuna (@sillytuna), Cyberpnk (@CyberpnkWin)",Wilkins Chung (@wwhchung) <wilkins@manifold.xyz>;Jalil Wahdatehagh (@jwahdatehagh);Cry (@crydoteth);Sillytuna (@sillytuna);Cyberpnk (@CyberpnkWin),137;181;634,,137;181;634,0,3,0.00094087,2,True,False,True,2378,21,https://ethereum-magicians.org/t/eip-5131-ens-subdomain-authentication/9458,ENS-based authentication linking secondary wallets to prove primary wallet control.,Uses ENS text records for safer signing via secondary wallets; one-to-many auth relationship.
5139,Remote Procedure Call Provider Lists,Format for lists of RPC providers for Ethereum-like chains.,infrastructure-meta,,high,,Stagnant,Standards Track,ERC,2022-06-06,,,Sam Wilson (@SamWilsn),Sam Wilson (@SamWilsn),155;1577,,155;1577,0,1,0.00094087,1,True,False,False,2072,21,https://ethereum-magicians.org/t/eip-5139-remote-procedure-call-provider-lists/9517,JSON schema format for lists of RPC providers with chain compatibility information.,Supports semantic versioning; publishable via ENS or HTTPS; enables provider switching.
5143,Slippage Protection for Tokenized Vault,An extension of EIP-4626 supporting improved EOA interactions.,defi,,high,,Stagnant,Standards Track,ERC,2022-06-09,,,Hadrien Croubois (@amxx),Hadrien Croubois (@amxx),20;4626,,20;4626,0,2,0.00094087,3,True,False,True,1208,13,https://ethereum-magicians.org/t/eip-5143-slippage-protection-for-tokenized-vaults/9554,ERC-4626 vault extension adding slippage protection for EOA interactions.,Overloaded deposit/mint/withdraw/redeem functions with min/max output bounds.
5164,Cross-Chain Execution,Defines an interface that supports execution across EVM networks.,infrastructure-meta,,high,,Last Call,Standards Track,ERC,2022-06-14,2023-11-15,,"Brendan Asselstine (@asselstine), Pierrick Turelier (@PierrickGT), Chris Whinfrey (@cwhinfrey)",Brendan Asselstine (@asselstine);Pierrick Turelier (@PierrickGT);Chris Whinfrey (@cwhinfrey),,,,0,0,0.00094087,0,True,False,False,933,14,https://ethereum-magicians.org/t/eip-5164-cross-chain-execution/9658,Cross-chain execution interface for dispatching and executing messages across EVM chains.,MessageDispatcher (origin) and MessageExecutor (destination); unique messageIds prevent replay.
